Total score,Spol,Broj godina:,123DY7,123DY7 [Score],1234X86,1234X86 [Score],1234Y56,1234Y56 [Score],1235ZZ,1235ZZ [Score],4567XY,4567XY [Score],4567XYZ,4567XYZ [Score],12358VD,12358VD [Score],12458XZ,12458XZ [Score],12459XY,12459XY [Score],45678XZ,45678XZ [Score],H1738HG,H1738HG [Score],HX1278A4,HX1278A4 [Score],P1279A,P1279A [Score],X245,X245 [Score],X41178A,X41178A [Score],XYZ001,XYZ001 [Score],XYZ0007,XYZ0007 [Score],XYZ0008,XYZ0008 [Score],XYZ0012,XYZ0012 [Score],XYZ0012 [Feedback],XYZ0013,XYZ0013 [Score],XYZ0013 [Feedback],XYZ0014,XYZ0014 [Score],XYZ0015,XYZ0015 [Score],XYZ0016,XYZ0016 [Score],XYZ0018,XYZ0018 [Score],XYZ0019,XYZ0019 [Score],XYZ0020,XYZ0020 [Score],XYZ0021,XYZ0021 [Score],XYZ0022,XYZ0022 [Score],XYZ0023,XYZ0023 [Score],XYZ0024,XYZ0024 [Score],XYZ0025,XYZ0025 [Score],XYZ0026,XYZ0026 [Score],XYZ0027 ,XYZ0027  [Score],XYZ0028 ,XYZ0028  [Score],XYZ0029 ,XYZ0029  [Score],XYZ0030 ,XYZ0030  [Score],XYZ0031,XYZ0031 [Score],XYZ0032 ,XYZ0032  [Score],XYZ0033 ,XYZ0033  [Score],XYZ0034 ,XYZ0034  [Score]
26.00 / 40,Ž,24,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,M,0.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1
28.00 / 40,M,33,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
27.00 / 40,M,46,M,0.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
29.00 / 40,M,26,M,0.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
28.00 / 40,Ž,57,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
26.00 / 40,Ž,30,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
33.00 / 40,Ž,40,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
29.00 / 40,Ž,34,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
30.00 / 40,Ž,30,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
26.00 / 40,Ž,29,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
25.00 / 40,M,33,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
24.00 / 40,Ž,55,Ž,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1
31.00 / 40,Ž,26,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
30.00 / 40,Ž,56,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,M,0.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,1.00 / 1
27.00 / 40,Ž,64,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
25.00 / 40,M,38,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
26.00 / 40,Ž,52,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,M,0.00 / 1,,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
24.00 / 40,Ž,46,M,0.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,M,0.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
28.00 / 40,Ž,41,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
23.00 / 40,Ž,32,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,,M,0.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
26.00 / 40,Ž,58,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1
27.00 / 40,M,28,M,0.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,1.00 / 1
22.00 / 40,Ž,39,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,M,0.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
28.00 / 40,Ž,55,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,M,0.00 / 1,,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1
29.00 / 40,Ž,35,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
28.00 / 40,Ž,36,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
28.00 / 40,Ž,25,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
26.00 / 40,Ž,60,Ž,1.00 / 1,M,0.00 / 1,M,0.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,M,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,Ž,0.00 / 1,Ž,0.00 / 1,M,1.00 / 1
31.00 / 40,Ž,49,M,0.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,,Ž,1.00 / 1,,Ž,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,M,1.00 / 1,M,0.00 / 1,M,1.00 / 1,Ž,1.00 / 1,Ž,1.00 / 1,M,1.00 / 1,Ž,0.00 / 1,M,1.00 / 1
